OPCODE;MAINOUTITEMCODE;PRODQTY;REMAINQTY;PRODSTART;PRODEND;MAINRESOURCE;MASTEROPCODE;DEPARTMENT;PREVOPCODE;NEXTOPCODE
"I_100799:10";"100799";"782.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M430881:10;M444645:10;M438076:10;M489211:10;M441112:10;M497190:10;M496959:10;M489563:10;M451852:10;M477236:10;M478001:10;M469194:10;M497191:10;M440590:10;M440591:10;M497294:10;M497295:10;M482242:10;M496983:10;M497192:10;M497193:10;M497194:10;M501859:10;M501860:10";
"I_100805:10";"100805";"478.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100813:10";"100813";"177.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100821:10";"100821";"192.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100843:10";"100843";"199.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M456219:10;M455928:10;M496172:10";
"I_100855:10";"100855";"84.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M472725:10;M452739:10;M438077:10;M489139:10;M460261:10;M472712:10;M438076:10";
"I_100867:10";"100867";"102.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M458301:10";
"I_100883:10";"100883";"24.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100887:10";"100887";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100894:10";"100894";"403.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M446952:10;M442420:10;M499647:10";
"I_100901:10";"100901";"42.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100911:10";"100911";"46.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M438022:10;M499372:10";
"I_100923:10";"100923";"9.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M478313:10";
"I_100939:10";"100939";"1227.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M445643:10;M503039:10;M445959:10;M472743:10;M484328:10;M480733:10";
"I_1009520:10";"1009520";"237.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M450959:30;M450960:30";
"I_100964:10";"100964";"53.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_1009690:10";"1009690";"8.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_1009720:10";"1009720";"43.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M446995:10;M411911:10";
"I_100982:10";"100982";"541.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M442483:10;M480784:10;M482513:10";
"I_100992:10";"100992";"10.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_101.00.16:10";"101.00.16";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_101.05.01.0040:10";"101.05.01.0040";"9.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_101.06.03.0010:10";"101.06.03.0010";"17.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_101013:10";"101013";"122.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M446939:10;M483780:10;M471825:10;M490473:10;M469092:10;M484314:10;M409481:10;M500062:10";
"I_1010290:10";"1010290";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_101049:10";"101049";"557.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M437501:10;M404759:10;M437430:10;M437420:10;M476696:10;M409742:10;M409644:10;M409645:10;M403265:10;M486149:10;M497307:10;M480824:10;M486196:10;M497262:10;M501967:10;M501968:10";
"I_101069:10";"101069";"1000.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_1010800:10";"1010800";"60.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"MT00114555_1:10";
